                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.76294,                0.46811,                0.96979,                0.82397,                0.85835,                0.88214,                0.64249,                0.85765,                0.57143,                 1.0529,              0.0086932,              0.0086932,              0.0086932
                    134,                0.75993,                  0.454,                0.97608,                0.87354,                0.84008,                0.88609,                0.67978,                0.82157,                0.53993,                 1.0193,              0.0086833,              0.0086833,              0.0086833
                    135,                0.75804,                  0.452,                0.97534,                0.85579,                0.84789,                0.91141,                0.67768,                0.84676,                0.54814,                 1.0346,              0.0086734,              0.0086734,              0.0086734
                    136,                0.76799,                0.45216,                0.96364,                0.87591,                0.87647,                0.93427,                0.68558,                0.86203,                 0.5402,                 1.0346,              0.0086635,              0.0086635,              0.0086635
                    137,                0.75654,                0.44931,                0.96964,                0.89223,                0.89226,                0.93095,                0.67923,                0.86487,                0.51196,                 1.0362,              0.0086536,              0.0086536,              0.0086536
                    138,                0.75955,                0.45306,                0.97673,                0.88846,                0.84949,                0.89069,                0.63898,                0.85602,                0.52614,                 1.0324,              0.0086437,              0.0086437,              0.0086437
                    139,                0.75558,                0.45167,                0.96396,                0.86322,                0.90016,                0.93636,                0.71453,                0.81534,                0.50889,                  1.026,              0.0086338,              0.0086338,              0.0086338
                    140,                0.76028,                0.46189,                0.97878,                0.83782,                0.90379,                0.94402,                0.70083,                0.84033,                0.50242,                 1.0295,              0.0086239,              0.0086239,              0.0086239
                    141,                0.74089,                 0.4412,                0.96164,                0.90015,                0.86814,                0.94844,                0.70306,                 0.8498,                0.51623,                  1.025,               0.008614,               0.008614,               0.008614
                    142,                0.75477,                 0.4449,                0.97402,                 0.8787,                0.86567,                0.94081,                0.70866,                 0.8326,                0.50742,                 1.0135,              0.0086041,              0.0086041,              0.0086041
                    143,                0.74855,                0.45374,                0.97266,                0.88474,                0.83104,                0.87251,                0.66271,                0.83648,                0.57194,                 1.0354,              0.0085942,              0.0085942,              0.0085942
                    144,                0.74438,                0.45354,                0.96409,                0.86675,                 0.8461,                0.91259,                0.66948,                0.82526,                0.54836,                 1.0168,              0.0085843,              0.0085843,              0.0085843
                    145,                0.74601,                0.44592,                0.96945,                0.87024,                0.90513,                0.93586,                0.71246,                0.81733,                 0.5404,                 1.0068,              0.0085744,              0.0085744,              0.0085744
                    146,                0.72672,                0.44088,                 0.9633,                  0.911,                0.82171,                0.90327,                0.69831,                0.76619,                 0.5499,                0.98888,              0.0085645,              0.0085645,              0.0085645
                    147,                0.73569,                0.43868,                0.96148,                0.86503,                0.83575,                0.91193,                0.69787,                0.80069,                0.53794,                0.99981,              0.0085546,              0.0085546,              0.0085546
                    148,                 0.7353,                0.44289,                0.95734,                0.87971,                0.83013,                0.90988,                 0.6994,                0.80318,                0.55034,                 1.0023,              0.0085447,              0.0085447,              0.0085447
                    149,                0.72862,                0.43526,                0.96091,                0.87468,                0.89286,                0.93236,                0.69376,                0.85844,                0.51863,                 1.0262,              0.0085348,              0.0085348,              0.0085348
